,id,title,popularity,release_date
393,234,The Cabinet of Dr. Caligari,13.111,1920-02-27
394,28971,Limelight,10.296,1952-10-23
395,1646,Freedom Writers,28.238,2007-01-05
396,775,A Trip to the Moon,15.766,1902-06-21
397,194,Amélie,48.629,2001-04-25
398,110,Three Colors: Red,14.967,1994-05-12
399,21334,Children of Heaven,12.462,1997-08-01
400,404378,A Street Cat Named Bob,18.892,2016-11-04
401,10242,What Ever Happened to Baby Jane?,19.434,1962-10-31
402,7857,Amarcord,11.676,1973-12-18
403,33,Unforgiven,33.308,1992-08-07
404,920394,My Father's Violin,12.94,2022-01-21
405,150540,Inside Out,103.596,2015-06-17
406,142061,"Batman: The Dark Knight Returns, Part 2",21.494,2013-01-03
407,654,On the Waterfront,20.178,1954-06-22
408,51822,Love Hurts,14.616,2002-11-08
409,829,Chinatown,30.648,1974-06-20
410,3777,Throne of Blood,15.079,1957-01-15
411,1092,The Third Man,25.846,1949-08-31
412,13398,Tokyo Godfathers,18.212,2003-12-05
413,10674,Mulan,92.108,1998-06-18
414,405,La Strada,11.447,1954-09-23
415,597,Titanic,151.905,1997-11-18
416,491480,The Boy Who Harnessed the Wind,30.191,2019-02-14
417,671,Harry Potter and the Philosopher's Stone,171.689,2001-11-16
418,944401,Dogman,84.49,2023-09-27
419,118340,Guardians of the Galaxy,44.143,2014-07-30
420,334533,Captain Fantastic,31.223,2016-07-08
421,313369,La La Land,73.165,2016-11-29
422,7984,In the Name of the Father,16.167,1993-12-12
423,378108,In This Corner of the World,12.526,2016-11-12
424,482321,Ron's Gone Wrong,26.614,2021-10-14
425,1892,Return of the Jedi,47.633,1983-05-25
426,20271,Divorce Italian Style,9.635,1961-12-20
427,501929,The Mitchells vs. the Machines,27.674,2021-04-22
428,458302,"Remi, Nobody's Boy",7.945,2018-12-12
429,455714,Bad Genius,16.812,2017-05-03
430,1402,The Pursuit of Happyness,62.056,2006-12-14
431,752,V for Vendetta,35.039,2006-02-23
432,961323,Nimona,29.386,2023-06-23
433,615453,Ne Zha,22.626,2019-07-26
434,20722,La Maison en Petits Cubes,8.258,2008-06-10
435,2011,Persepolis,17.34,2007-06-27
436,360814,Dangal,18.004,2016-12-21
437,25538,Yi Yi,14.293,2000-09-20
438,827,Diabolique,10.839,1955-01-29
439,610150,Dragon Ball Super: Super Hero,41.827,2022-06-11
440,10728,Faust,8.81,1926-10-13
441,503314,Dragon Ball Super: Broly,6.719,2018-12-14
442,29455,Winter Light,11.151,1963-02-11
443,210577,Gone Girl,91.4,2014-10-01
444,223,Rebecca,22.553,1940-03-23
445,698948,Thirteen Lives,19.748,2022-07-18
446,60243,A Separation,12.373,2011-02-15
447,14836,Coraline,100.111,2009-02-05
448,11036,The Notebook,104.044,2004-06-25
449,774531,Young Woman and the Sea,25.903,2024-05-31
450,726684,Miraculous World: Shanghai – The Legend of Ladydragon,30.664,2021-05-15
451,316029,The Greatest Showman,42.17,2017-12-20
452,548544,Invisible Life,9.783,2019-08-30
453,52629,El Infierno,40.461,2010-09-03
454,667520,A Whisker Away,28.272,2020-06-18
455,17295,The Battle of Algiers,10.775,1966-09-08
456,1010581,My Fault,591.473,2023-06-08
457,183011,Justice League: The Flashpoint Paradox,21.448,2013-07-30
458,714888,"Argentina, 1985",11.386,2022-09-29
459,550205,Wish Dragon,32.829,2021-01-15
460,582927,I'm No Longer Here,11.363,2019-10-21
461,180147,We Are the Nobles,16.822,2013-03-28
462,331482,Little Women,43.154,2019-12-25
463,665,Ben-Hur,51.841,1959-11-18
464,804,Roman Holiday,23.799,1953-08-26
465,833,Umberto D.,9.922,1952-01-20
466,662,La Jetée,12.381,1962-02-16
467,393,Kill Bill: Vol. 2,47.872,2004-04-16
468,265195,Wild Tales,19.579,2014-08-21
469,573164,An Egg Rescue,16.263,2021-08-12
470,3034,Young Frankenstein,21.345,1974-12-15
471,16,Dancer in the Dark,24.704,2000-09-01
472,369557,Sing Street,20.869,2016-03-11
473,32085,Vincent,8.832,1982-10-01
474,3112,The Night of the Hunter,20.228,1955-08-26
475,3083,Mr. Smith Goes to Washington,13.849,1939-10-19
476,381341,Perfect Strangers,15.024,2016-02-11
477,47796,Mamma Roma,11.566,1962-09-22
478,522402,Finch,27.567,2021-11-04
479,522212,Just Mercy,19.629,2019-12-25
480,613,Downfall,25.491,2004-09-16
481,24238,Mary and Max,35.359,2009-04-09
482,11293,Paper Moon,12.184,1973-05-09
483,1607,A Bronx Tale,50.669,1993-10-01
484,275,Fargo,40.133,1996-03-08
485,698508,Redeeming Love,101.387,2022-01-21
486,453,A Beautiful Mind,41.189,2001-12-14
487,438695,Sing 2,67.476,2021-12-01
488,31411,The Cameraman,9.718,1928-09-10
489,505192,Shoplifters,16.927,2018-06-02
490,235,Stand by Me,29.028,1986-08-08
491,152601,Her,43.175,2013-12-18
492,399174,Isle of Dogs,21.359,2018-03-23
493,23160,Werckmeister Harmonies,9.702,2001-02-01
494,89,Indiana Jones and the Last Crusade,41.156,1989-05-24
495,435129,The Breadwinner,17.27,2017-11-17
496,266856,The Theory of Everything,25.389,2014-11-26
497,777,Grand Illusion,9.838,1937-06-04
498,546554,Knives Out,78.575,2019-11-27
499,430424,See You Up There,10.636,2017-10-25
500,94047,My Way,13.792,2011-12-21
501,31442,Ivan's Childhood,9.739,1962-05-09
502,16804,Departures,12.764,2008-09-13
503,2440,Joint Security Area,17.881,2000-09-09
504,527774,Raya and the Last Dragon,65.631,2021-03-03
505,968,Dog Day Afternoon,15.361,1975-09-21
506,585,"Monsters, Inc.",107.439,2001-11-01
507,581,Dances with Wolves,35.59,1990-03-30
508,59440,Warrior,58.001,2011-09-09
509,33320,Millennium Actress,13.282,2002-09-14
510,379170,Sherlock: The Abominable Bride,17.915,2016-01-01
511,11830,Tampopo,14.14,1985-11-23
512,594634,Close to the Horizon,12.924,2019-10-10
513,5924,Papillon,26.96,1973-12-16
514,115,The Big Lebowski,40.348,1998-03-06
515,530254,The Witch: Part 1. The Subversion,38.798,2018-06-27
516,45752,Scooby-Doo! Camp Scare,16.099,2010-09-14
517,9479,The Nightmare Before Christmas,47.318,1993-10-09
518,24167,Two Women,11.292,1960-12-22
519,391,A Fistful of Dollars,33.144,1964-09-12
520,11656,The Virgin Spring,9.298,1960-02-08
521,785084,The Whale,44.945,2022-12-09
522,293299,Feast,6.894,2014-10-25
523,1394,Nostalgia,11.928,1983-06-02
524,631,Sunrise: A Song of Two Humans,14.584,1927-11-04
525,6075,Carlito's Way,25.799,1993-11-10
526,32480,The Marquis of Grillo,8.868,1981-12-23
527,14574,The Boy in the Striped Pyjamas,59.891,2008-05-07
528,10191,How to Train Your Dragon,89.066,2010-03-18
529,93,Anatomy of a Murder,16.383,1959-07-01
530,552532,Charm City Kings,25.644,2020-01-27
531,25364,Ace in the Hole,12.669,1951-06-29
532,354857,Regular Show: The Movie,15.175,2015-09-01
533,632322,All My Life,14.964,2020-10-23
534,152742,The Best Offer,14.821,2013-01-01
535,650031,The Shadow in My Eye,14.156,2021-10-28
536,596,The Grapes of Wrath,15.542,1940-03-15
537,2721,Z,9.573,1969-02-26
538,677638,We Bare Bears: The Movie,21.843,2020-06-30
539,805,Rosemary's Baby,30.935,1968-06-12
540,937746,Io Capitano,25.241,2023-09-07
541,783675,The First Slam Dunk,18.814,2022-12-03
542,323272,War Room,31.289,2015-08-28
543,303867,World of Tomorrow,5.569,2015-01-22
544,200727,"Love, Rosie",39.546,2014-10-16
545,185789,Mulholland Dr.,22.333,1999-01-01
546,83564,La luna,8.134,2012-02-10
547,16859,Kiki's Delivery Service,39.058,1989-07-29
548,2062,Ratatouille,102.069,2007-06-21
549,779047,Us Again,19.368,2021-03-03
550,3870,1900,14.687,1976-08-28
551,398924,A Bag of Marbles,10.696,2017-01-18
552,10775,Infernal Affairs,26.431,2002-12-12
